<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;60;20221207;200000;6.9702000;6.9737000;6.9702000;6.9702000;8
USDCNY;60;20221207;210000;6.9702000;6.9702000;6.9702000;6.9702000;4
USDCNY;60;20221207;220000;6.9702000;6.9702000;6.9702000;6.9702000;8
USDCNY;60;20221207;230000;6.9702000;6.9702000;6.9702000;6.9702000;5
USDCNY;60;20221208;030000;6.9702000;6.9702000;6.9702000;6.9702000;1
USDCNY;60;20221208;040000;6.9702000;6.9702000;6.9702000;6.9702000;1
USDCNY;60;20221208;050000;6.9710000;6.9771000;6.9691000;6.9768000;22
USDCNY;60;20221208;060000;6.9757000;6.9789000;6.9726000;6.9789000;52
USDCNY;60;20221208;070000;6.9803000;6.9816000;6.9744000;6.9758000;104
USDCNY;60;20221208;080000;6.9758000;6.9766000;6.9745000;6.9745000;130
USDCNY;60;20221208;090000;6.9745000;6.9763000;6.9698000;6.9703000;150
USDCNY;60;20221208;100000;6.9706000;6.9738000;6.9676000;6.9704000;167
USDCNY;60;20221208;110000;6.9710000;6.9725000;6.9637000;6.9702000;168
USDCNY;60;20221208;120000;6.9700000;6.9765000;6.9700000;6.9710000;162
USDCNY;60;20221208;130000;6.9710000;6.9715000;6.9683000;6.9703000;143
USDCNY;60;20221208;140000;6.9703000;6.9718000;6.9703000;6.9716000;128
USDCNY;60;20221208;150000;6.9716000;6.9735000;6.9707000;6.9735000;125
USDCNY;60;20221208;160000;6.9735000;6.9735000;6.9715000;6.9715000;36
USDCNY;60;20221208;170000;6.9708000;6.9708000;6.9675000;6.9675000;5
USDCNY;60;20221208;180000;6.9675000;6.9675000;6.9675000;6.9675000;4
USDCNY;60;20221208;190000;6.9675000;6.9675000;6.9649000;6.9649000;6
USDCNY;60;20221208;200000;6.9649000;6.9649000;6.9649000;6.9649000;9
USDCNY;60;20221208;210000;6.9649000;6.9649000;6.9649000;6.9649000;7
USDCNY;60;20221208;220000;6.9649000;6.9649000;6.9649000;6.9649000;3
USDCNY;60;20221208;230000;6.9649000;6.9649000;6.9649000;6.9649000;9
USDCNY;60;20221209;000000;6.9649000;6.9649000;6.9649000;6.9649000;5
USDCNY;60;20221209;010000;6.9649000;6.9649000;6.9649000;6.9649000;4
USDCNY;60;20221209;030000;6.9649000;6.9649000;6.9649000;6.9649000;4
USDCNY;60;20221209;050000;6.9495000;6.9497000;6.9420000;6.9493000;74
USDCNY;60;20221209;060000;6.9475000;6.9601000;6.9468000;6.9601000;144
USDCNY;60;20221209;070000;6.9603000;6.9620000;6.9550000;6.9587000;174
USDCNY;60;20221209;080000;6.9594000;6.9594000;6.9566000;6.9568000;155
USDCNY;60;20221209;090000;6.9568000;6.9588000;6.9521000;6.9561000;215
USDCNY;60;20221209;100000;6.9570000;6.9600000;6.9508000;6.9530000;259
USDCNY;60;20221209;110000;6.9529000;6.9534000;6.9444000;6.9470000;237
USDCNY;60;20221209;120000;6.9493000;6.9525000;6.9446000;6.9498000;221
USDCNY;60;20221209;130000;6.9498000;6.9522000;6.9451000;6.9492000;175
USDCNY;60;20221209;140000;6.9503000;6.9520000;6.9485000;6.9513000;149
USDCNY;60;20221209;150000;6.9513000;6.9575000;6.9513000;6.9555000;148
USDCNY;60;20221209;160000;6.9555000;6.9575000;6.9555000;6.9556000;38
USDCNY;60;20221209;170000;6.9571000;6.9585000;6.9540000;6.9555000;25
USDCNY;60;20221209;230000;6.9559000;6.9559000;6.9559000;6.9559000;9
USDCNY;60;20221210;000000;6.9559000;6.9559000;6.9559000;6.9559000;10
USDCNY;60;20221210;010000;6.9559000;6.9559000;6.9559000;6.9559000;8
USDCNY;60;20221212;010000;6.9559000;6.9559000;6.9559000;6.9559000;1
USDCNY;60;20221212;030000;6.9559000;6.9559000;6.9559000;6.9559000;2
USDCNY;60;20221212;050000;6.9805000;6.9866000;6.9805000;6.9832000;18
USDCNY;60;20221212;100000;6.9815000;6.9831000;6.9734000;6.9734000;175
USDCNY;60;20221212;110000;6.9734000;6.9776000;6.9710000;6.9738000;165
USDCNY;60;20221212;190000;6.9772000;6.9775000;6.9772000;6.9773000;7
USDCNY;60;20221212;200000;6.9773000;6.9773000;6.9773000;6.9773000;8
USDCNY;60;20221212;210000;6.9773000;6.9773000;6.9773000;6.9773000;6
USDCNY;60;20221212;220000;6.9773000;6.9773000;6.9773000;6.9773000;2
USDCNY;60;20221213;000000;6.9773000;6.9773000;6.9773000;6.9773000;4
USDCNY;60;20221213;010000;6.9773000;6.9773000;6.9773000;6.9773000;1
USDCNY;60;20221213;030000;6.9773000;6.9773000;6.9773000;6.9773000;2
USDCNY;60;20221213;040000;6.9773000;6.9773000;6.9773000;6.9773000;4
USDCNY;60;20221213;050000;6.9858000;6.9880000;6.9770000;6.9806000;16
USDCNY;60;20221213;060000;6.9804000;6.9804000;6.9706000;6.9751000;38
USDCNY;60;20221213;070000;6.9759000;6.9787000;6.9755000;6.9787000;92
USDCNY;60;20221213;080000;6.9787000;6.9796000;6.9787000;6.9796000;134
USDCNY;60;20221213;090000;6.9796000;6.9800000;6.9795000;6.9800000;125
USDCNY;60;20221213;100000;6.9800000;6.9800000;6.9800000;6.9800000;120
