<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20221207;150000;62.8500000;63.1720000;61.8750000;61.8750000;831
USDRUB;60;20221207;160000;62.5950000;63.3720000;62.0000000;62.5270000;579
USDRUB;60;20221207;170000;63.0970000;63.1470000;62.1000000;63.0970000;774
USDRUB;60;20221207;180000;63.0970000;63.1470000;62.0500000;63.0720000;1416
USDRUB;60;20221207;190000;63.0720000;63.1470000;61.9250000;62.6860000;708
USDRUB;60;20221207;200000;62.6970000;63.0470000;61.5500000;62.5470000;1483
USDRUB;60;20221208;060000;62.0000000;62.0000000;62.0000000;62.0000000;3
USDRUB;60;20221208;070000;62.0000000;62.8000000;62.0000000;62.8000000;3
USDRUB;60;20221208;080000;62.8500000;63.0000000;62.8500000;63.0000000;3
USDRUB;60;20221208;100000;62.9500000;62.9500000;62.8000000;62.8000000;4
USDRUB;60;20221208;110000;62.9000000;63.1470000;61.9500000;62.9470000;1078
USDRUB;60;20221208;120000;62.9470000;62.9970000;61.6500000;62.5500000;1338
USDRUB;60;20221208;130000;62.4500000;62.8970000;61.3000000;62.6970000;1056
USDRUB;60;20221208;140000;62.6970000;62.9470000;61.8000000;62.5800000;456
USDRUB;60;20221208;150000;62.4940000;62.9970000;61.8500000;62.8470000;387
USDRUB;60;20221208;160000;62.8470000;62.8720000;62.2650000;62.2650000;1237
USDRUB;60;20221208;170000;62.8220000;62.8470000;62.2130000;62.8470000;292
USDRUB;60;20221208;180000;62.8470000;62.9220000;61.8250000;62.8220000;920
USDRUB;60;20221208;190000;62.8220000;62.8970000;61.8500000;62.8470000;2260
USDRUB;60;20221208;200000;62.8470000;62.8970000;61.9000000;62.8970000;888
USDRUB;60;20221208;210000;63.1470000;63.1470000;62.4000000;62.4000000;3
USDRUB;60;20221209;000000;62.1500000;62.4000000;62.1500000;62.4000000;2
USDRUB;60;20221209;060000;62.4000000;62.4000000;62.4000000;62.4000000;1
USDRUB;60;20221209;070000;62.5800000;62.5800000;62.5800000;62.5800000;1
USDRUB;60;20221209;080000;62.6500000;62.7500000;62.6500000;62.7500000;5
USDRUB;60;20221209;090000;62.8000000;62.8000000;62.7000000;62.7500000;4
USDRUB;60;20221209;100000;62.7000000;62.7000000;62.5500000;62.5500000;4
USDRUB;60;20221209;110000;62.4500000;62.4970000;61.2975000;62.4470000;230
USDRUB;60;20221209;120000;62.4470000;62.4970000;61.3500000;62.3300000;703
USDRUB;60;20221209;130000;62.3300000;62.6970000;61.2500000;62.6970000;1223
USDRUB;60;20221209;140000;62.6970000;62.9470000;61.5500000;62.6220000;1209
USDRUB;60;20221209;150000;61.6250000;62.9970000;61.6250000;61.6500000;1286
USDRUB;60;20221209;160000;62.4870000;62.9470000;61.6000000;62.5970000;1420
USDRUB;60;20221209;170000;62.5970000;62.5970000;62.4590000;62.5720000;2329
USDRUB;60;20221209;180000;62.5720000;62.6220000;62.3920000;62.5000000;615
USDRUB;60;20221209;190000;62.5000000;62.5000000;62.3090000;62.5000000;24
USDRUB;60;20221209;200000;62.4670000;62.5250000;61.5250000;62.5000000;23
USDRUB;60;20221209;210000;61.6500000;62.6470000;61.6500000;62.5000000;8
USDRUB;60;20221209;220000;62.5000000;62.5000000;62.5000000;62.5000000;7
USDRUB;60;20221209;230000;62.5000000;62.5000000;62.5000000;62.5000000;9
USDRUB;60;20221210;000000;62.5000000;62.5000000;62.5000000;62.5000000;10
USDRUB;60;20221210;010000;62.5000000;62.5000000;62.5000000;62.5000000;8
USDRUB;60;20221212;010000;62.5000000;62.5000000;62.5000000;62.5000000;1
USDRUB;60;20221212;030000;62.5000000;62.5000000;62.5000000;62.5000000;2
USDRUB;60;20221212;060000;62.5000000;62.5000000;62.5000000;62.5000000;5
USDRUB;60;20221212;070000;62.5000000;62.5000000;62.5000000;62.5000000;4
USDRUB;60;20221212;080000;62.5000000;62.5500000;62.4000000;62.5500000;4
USDRUB;60;20221212;090000;62.6500000;62.6500000;62.6500000;62.6500000;1
USDRUB;60;20221212;100000;62.5000000;62.6000000;61.5350000;62.6000000;6
USDRUB;60;20221212;110000;62.6000000;62.6570000;61.5350000;62.6500000;10
USDRUB;60;20221212;120000;62.6500000;62.7000000;61.4100000;61.4600000;9
USDRUB;60;20221212;130000;62.5470000;62.6220000;61.5000000;61.5250000;15
USDRUB;60;20221212;140000;62.6470000;62.6970000;61.5500000;62.6970000;350
USDRUB;60;20221212;150000;62.6970000;62.8220000;61.7000000;62.7220000;1458
USDRUB;60;20221212;160000;62.7220000;62.9720000;61.8000000;62.8720000;470
USDRUB;60;20221212;170000;62.8470000;62.8720000;61.8000000;62.8470000;1034
USDRUB;60;20221212;180000;62.8470000;62.8970000;61.9000000;62.8970000;1239
USDRUB;60;20221212;190000;63.0220000;63.0720000;61.9000000;61.9000000;1177
USDRUB;60;20221212;200000;62.7530000;63.0220000;62.0000000;62.0000000;14
USDRUB;60;20221212;210000;62.2500000;62.8720000;61.8750000;62.2500000;4
