<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;60;20221208;120000;66.2270000;66.2630000;65.8630000;65.9250000;12
EURRUB;60;20221208;130000;65.6740000;65.8650000;65.5220000;65.7910000;12
EURRUB;60;20221208;140000;65.8260000;66.0180000;65.6680000;65.9220000;12
EURRUB;60;20221208;150000;65.8990000;66.0330000;65.8310000;66.0330000;12
EURRUB;60;20221208;160000;66.0460000;66.1100000;66.0170000;66.0170000;12
EURRUB;60;20221208;170000;66.0110000;66.0940000;65.9850000;66.0910000;12
EURRUB;60;20221208;180000;66.2110000;66.2120000;65.9850000;66.2120000;12
EURRUB;60;20221208;190000;66.1820000;66.2790000;66.1820000;66.2770000;12
EURRUB;60;20221208;200000;66.2650000;66.3890000;66.2180000;66.3170000;12
EURRUB;60;20221208;210000;66.2940000;66.8970000;66.2940000;66.8370000;12
EURRUB;60;20221208;220000;66.8480000;66.9400000;66.8080000;66.9260000;12
EURRUB;60;20221208;230000;66.9200000;66.9350000;66.8620000;66.9250000;12
EURRUB;60;20221209;000000;66.9270000;66.9440000;66.9070000;66.9190000;11
EURRUB;60;20221209;010000;66.9210000;66.9210000;66.7170000;66.7170000;12
EURRUB;60;20221209;080000;66.3380000;66.3960000;66.3000000;66.3780000;10
EURRUB;60;20221209;090000;66.3230000;66.4570000;66.3230000;66.3810000;12
EURRUB;60;20221209;100000;66.3680000;66.3730000;66.2390000;66.2390000;12
EURRUB;60;20221209;110000;66.2550000;66.2550000;65.7920000;65.8620000;12
EURRUB;60;20221209;180000;65.9740000;66.0960000;65.8940000;66.0290000;12
EURRUB;60;20221209;190000;66.0560000;66.0800000;65.9640000;66.0010000;12
EURRUB;60;20221209;200000;66.0010000;66.0010000;65.8680000;65.9570000;12
EURRUB;60;20221209;210000;65.9190000;66.0620000;65.9190000;66.0390000;12
EURRUB;60;20221209;220000;66.0450000;66.1140000;66.0410000;66.0840000;12
EURRUB;60;20221209;230000;66.0730000;66.0860000;65.9350000;66.0560000;12
EURRUB;60;20221210;000000;66.0610000;66.0610000;65.8720000;65.9690000;12
EURRUB;60;20221210;010000;65.9660000;65.9810000;65.8270000;65.8880000;12
EURRUB;60;20221210;020000;65.8770000;65.8860000;65.8770000;65.8860000;6
EURRUB;60;20221212;010000;65.8480000;65.8480000;65.8350000;65.8350000;3
EURRUB;60;20221212;020000;65.8540000;65.8660000;65.8540000;65.8660000;3
EURRUB;60;20221212;080000;65.6380000;65.8170000;65.6180000;65.8080000;12
EURRUB;60;20221212;090000;65.8970000;65.8970000;65.8380000;65.8530000;8
EURRUB;60;20221212;100000;65.7640000;65.7680000;65.5930000;65.7400000;11
EURRUB;60;20221212;110000;65.7700000;65.8350000;65.7470000;65.8170000;12
EURRUB;60;20221212;120000;65.7970000;65.9310000;65.7970000;65.8560000;12
EURRUB;60;20221212;130000;65.8820000;66.1550000;65.8690000;66.0150000;12
EURRUB;60;20221212;140000;66.0110000;66.2600000;66.0110000;66.2260000;12
EURRUB;60;20221212;170000;66.4760000;66.6160000;66.3090000;66.4550000;12
