<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDTRY;60;20221208;140000;18.6431500;18.6461000;18.6330500;18.6428000;11619
USDTRY;60;20221208;150000;18.6430000;18.6455000;18.6310000;18.6418200;11421
USDTRY;60;20221208;160000;18.6359600;18.6440000;18.6202000;18.6397000;13678
USDTRY;60;20221208;170000;18.6347300;18.6456500;18.6231100;18.6366000;20616
USDTRY;60;20221208;180000;18.6384300;18.6436300;18.6100000;18.6389000;17556
USDTRY;60;20221208;190000;18.6391600;18.6428100;18.6228600;18.6329100;7782
USDTRY;60;20221208;200000;18.6240000;18.6450000;18.6186200;18.6394000;8249
USDTRY;60;20221208;210000;18.6373800;18.6451000;18.6160700;18.6301000;8643
USDTRY;60;20221208;220000;18.6299500;18.6476000;18.6159500;18.6329000;3954
USDTRY;60;20221208;230000;18.6303600;18.6554000;18.6195600;18.6301000;15136
USDTRY;60;20221209;000000;18.6303600;18.6433000;18.6173000;18.6356700;3553
USDTRY;60;20221209;010000;18.6307600;18.6429000;18.6078000;18.6084000;4484
USDTRY;60;20221209;020000;18.6243300;18.6523000;18.6077000;18.6379000;3464
USDTRY;60;20221209;030000;18.6438000;18.6610000;18.6094000;18.6414000;12092
USDTRY;60;20221209;040000;18.6292900;18.6905000;18.6156000;18.6378200;19480
USDTRY;60;20221209;050000;18.6363600;18.6880000;18.6152000;18.6382800;18248
USDTRY;60;20221209;060000;18.6361000;18.6880000;18.6160000;18.6397000;20272
USDTRY;60;20221209;070000;18.6378500;18.6532000;18.6094000;18.6382000;20861
USDTRY;60;20221209;080000;18.6363600;18.6496000;18.6180400;18.6380000;10282
USDTRY;60;20221209;090000;18.6380700;18.6410000;18.6160000;18.6377000;11056
USDTRY;60;20221209;100000;18.6300000;18.6420000;18.6223600;18.6375300;6319
USDTRY;60;20221209;110000;18.6384600;18.6885000;18.6234700;18.6450300;17956
USDTRY;60;20221209;120000;18.6433000;18.6488500;18.6363000;18.6469000;14605
USDTRY;60;20221209;150000;18.6396100;18.6467100;18.6335000;18.6397200;17175
USDTRY;60;20221209;160000;18.6415200;18.6452400;18.6208000;18.6380000;17435
USDTRY;60;20221209;170000;18.6433000;18.6525000;18.6106800;18.6418900;23676
USDTRY;60;20221209;190000;18.6337500;18.6440500;18.6100200;18.6371300;7957
USDTRY;60;20221210;010000;18.6365500;18.6542000;18.6097000;18.6503000;4095
USDTRY;60;20221210;020000;18.6257000;18.6257000;18.6253000;18.6257000;5
USDTRY;60;20221212;020000;18.6275000;18.6648000;18.5762000;18.6396100;8222
USDTRY;60;20221212;030000;18.6398700;18.6739000;18.6080100;18.6319600;7685
USDTRY;60;20221212;040000;18.6317000;18.6448000;18.6065100;18.6391000;11197
USDTRY;60;20221212;060000;18.6337000;18.6453000;18.6114400;18.6381000;11464
USDTRY;60;20221212;070000;18.6381000;18.6417000;18.6224900;18.6389000;6344
USDTRY;60;20221212;220000;18.6293800;18.6527000;18.5662000;18.6253000;6942
USDTRY;60;20221212;230000;18.6081000;18.6435900;18.6047600;18.6330000;4062
USDTRY;60;20221213;000000;18.6331000;18.6398000;18.5843600;18.6251000;6582
USDTRY;60;20221213;010000;18.6253000;18.6780000;18.6052500;18.6139800;4936
USDTRY;60;20221213;020000;18.6274800;18.6802000;18.5447000;18.5762000;5817
USDTRY;60;20221213;030000;18.6007200;18.6310000;18.5629300;18.6050000;5738
USDTRY;60;20221213;040000;18.5888000;18.6404000;18.5347000;18.5997000;10952
USDTRY;60;20221213;050000;18.6024000;18.6450000;18.5409000;18.6385000;10257
USDTRY;60;20221213;060000;18.6403000;18.6450000;18.6300000;18.6379000;5377
USDTRY;60;20221213;070000;18.6383600;18.6440000;18.6300000;18.6377000;6364
USDTRY;60;20221213;080000;18.6376000;18.6440000;18.6321400;18.6334000;5272
USDTRY;60;20221213;090000;18.6383600;18.6450000;18.6266800;18.6373000;5261
USDTRY;60;20221213;100000;18.6386000;18.6398900;18.6268300;18.6317000;6148
USDTRY;60;20221213;110000;18.6319600;18.6472600;18.5749100;18.6448000;13379
USDTRY;60;20221213;120000;18.6392300;18.6479600;18.6330000;18.6429200;8065
USDTRY;60;20221213;130000;18.6428400;18.6443500;18.6350000;18.6439100;1408
